T [GeV]		heff			          Sqrt[geff]		      Sqrt[g*]
3.548136	84.13295736077524	9.195666036254787	9.275914169357124
3.162278	83.69321681048534	9.175267338683575	9.272601482296771
2.818383	83.17242870252949	9.150606739130954	9.267906858368692
2.511888	82.56112388103539	9.121033804847487	9.261021493453057
2.371377	82.21894925383263	9.104212110997102	9.256528233722118
2.238722	81.85132504396454	9.085941683640389	9.251092695702223
2.113489	81.45769860854111	9.066166948003449	9.24459492345813
1.995263	81.03775473529258	9.044845174729522	9.236853642208743
1.88365		80.59145023208457	9.021949420233732	9.227691058792225
1.778279	80.11905366567044	8.997471910849033	9.21692113574198
1.678806	79.62119464451364	8.971428038195294	9.204363096988489
1.584893	79.09876726930975	8.943852815516053	9.189848113470388
1.496236	78.553062319029		8.914809137716206	9.173234844474306
1.412538	77.98558874800884	8.884379480023645	9.154420537187976
1.333521	77.39807225018198	8.85266640565904	9.133358026532743
1.258927	76.79238300263009	8.819788971439634	9.110067454237159
1.188502	76.17028775304756	8.78586848207477	9.084654964822501
1.122019	75.53348433902798	8.75102833404637	9.057323291020346
1.059254	74.88324003873751	8.715372277223704	9.02836708895266
1.		    74.22034022444075	8.678976844306522	8.998176001185183
0.9440617	73.54489247865412	8.641876495449392	8.967204150738525
0.891251	72.85616099962667	8.604049887872078	8.935933457173483
0.8413955	72.15263536996076	8.565419334849427	8.904813741867045
0.7943284	71.43197830835868	8.525845154885562	8.874188235762318
0.7498942	70.69128135435379	8.485140032514689	8.84422833531937
0.7079459	69.92732621367412	8.44308654818337	8.814865333585216
0.6683444	69.13694570518804	8.399463383775108	8.785788377776793
0.6309577	68.3173430831293	8.354071442765395	8.756494597507677
0.5956623	67.46634498739907	8.306756296158106	8.726425787940803
0.5623413	66.5824583971913	8.257416929514747	8.694903954241786
0.5308846	65.66488496785693	8.20600795575864	8.661621948742255
0.5011872	64.712784779493		8.152496229731598	8.626481463397987
0.4731517	63.72520106243129	8.096844662027713	8.589769919866292
0.4466837	62.70014106333989	8.038949956558977	8.552007844189681
0.4216965	61.634680570871		7.978630047476886	8.513869005860391
0.3981073	60.524281524927915	7.915572244499388	8.47643886723447
0.3758374	59.362505116375715	7.849297007454421	8.440621035877975
0.3548135	58.14150969279659	7.779175077326387	8.407119936947074
0.3349657	56.85211630168455	7.704420080134209	8.376415966381083
0.3162279	55.484431408018		7.624120449291094	8.348481457682205
0.2985383	54.02870497540377	7.537292925134533	8.32270961847237
0.2818383	52.4761599162921	7.442940995318805	8.297961070685206
0.2660725	50.81959658906046	7.3400966464415935	8.273019174715417
0.2511887	49.053016788693746	7.2277741837672895	8.2477404717329
0.2371376	47.16921751338848	7.104720608186402	8.22517042432411
0.2238722	45.154387658497946	6.968824122843641	8.214374016994647
0.2113489	42.98050823724971	6.816160897919094	8.232150556587055
0.1995262	40.599793546265595	6.640000287747418	8.29838960941217
